title	country	year	genre	publisher	director	producer	episodes	actors	info	reception	awards
Dating Alone	South Korean	2015	Reality television, Variety television	JTBC		Executiveproducer	12				
Ice Girl	South Korean	2005		Korean Broadcasting System	Kim Myeong Wook, Lee Jin Seo	Jung Sung Hyo	16		Ice Girl () is a 2005 South Korean television series starring Kim Hyo-jin, Kim Joo-seung, Kim Nam-jin and Seo Ji-hye. It aired on KBS2 from June 27 to August 16, 2005 on Mondays and Tuesdays at 21:55 for 16 episodes.		
My &quot;Spiritual&quot; Ex-Lover	Hong Kong	2015	Period drama	TVB Jade	Yip Chun Fai	Chong Wai Kin	14		My "Spiritual" Ex-Lover () is a 2015 Hong Kong period, fantasy, comedy-drama produced by TVB. The drama is TVB's 2015 Lunar New Year drama starring most of the same cast from TVB's 2014 Lunar New Year drama Queen Divas. Filming of the drama took place from September till November 2014. The series began airing on February 9, 2015, and will be broadcast weekly from Monday to Friday on TVB Jade channel 9:30-10:30 pm timeslot. The plot is loosely based on the fantasy story Nie Xiaoqian (Nip Siu Sin)...		
Good Luck	Singaporean	2015	Lunar New Year	MediaCorp Channel 8		Hong Huifang, Chen Shucheng, Chen Liping, Rayson Tan, Romeo Tan, Chris Tong, Kym Ng, Terence Cao, Zhang Zhenhuan Zhang Zhenhuan, Paige Chua, Aloysius Pang	20		Good Luck () is a Lunar New Year drama serial produced by MediaCorp Studios and aired on Channel 8. Hong Huifang portrays a centenarian who is a matriarch of a 4-generation family in the series; other characters include Chen Shucheng, Chen Liping, Rayson Tan, Romeo Tan, Chris Tong, Kym Ng, Terence Cao, Zhang Zhenhuan, Paige Chua and Aloysius Pang. The series began production in September 2014 and wrapped up its filming in November 2014. It began on 2 February 2015 with a total of 20 episodes.		
Incredible Mama	Hong Kong	2015	Comedy, Superhero		Au Yiu Hing		9	Kara Hui, David Chiang, Sam Chan, Carlos Chan, Dominic Lam, Felix Lok, Kathy Yuen, Adrian Wong Tsz Ching, Kwok Fung, Candy Chu, Shek Sau, Yu Mo Lin, Casper Chan, Maggie Wong, Henry Leung, Mimi Kung, Mannor Chan, Pai Piao, Luvin Ho, Mason Chiu	Incredible Mama (), is a 2015 superhero action comedy television series produced by Hong Kong Television Network. Originally 25 episodes, the series was condensed into 9. The first episode premiered on February 9, 2015.		
God of War	South Korean	2012	Action film, Historical period drama		Kim Jin Min	Kim Ho Jun, Joosun	56	Kim Joo Hyuk, Kim Gyu Ri, Jeong Bo Seok, Park Sang Min, Joo Hyun, Hong Ah Reum, Kang Shin Il, Park Sang Wook, Sora Jung, Chun Ho Jin, Park Hae Soo, O Yeong Su, Ahn Jae Mo, Jin Seon Kyu, Kim Yoo Mi, Lee Seung Hyo, Kim Ha Eun, Jo Eun Sook, Go Soo Hee, Choi Deok Moon	God of War (), also known by the alternative title, Warrior K, is a 2012 South Korean television series starring Kim Joo-hyuk as the real-life historical figure Kim Jun who was written about in the Goryeosa. It aired on MBC from February 11 to September 15, 2012, on Saturdays and Sundays at 20:40 for 56 episodes.		
Hur Jun, The Original Story	South Korean	2013	Historical drama, Medical drama, Romance film		Kim Geun Hong, Kwon Sung Chang	Yoo Hyun Jong	135		Hur Jun, The Original Story () is a 2013 South Korean television series about the life of Heo Jun, a commoner who rose up the ranks to become a royal physician in Joseon (he used the art name "Guam"). It aired on MBC from March 18 to September 23, 2013 on Mondays to Fridays at 20:50 for 135 episodes. Heo Jun was the author of the famed oriental medicine textbook Dongui Bogam (lit. "Mirror of Eastern Medicine"), considered the defining text of traditional Korean medicine. This was the fifth drama...		
Blood	South Korean	2015	Medical drama, Romance (love), Thriller (genre), Vampire film		Ki Min Soo, Lee Jae Hoon	Jo Woong, Yoon Jae Hyuk	20		Blood () is a 2015 South Korean television series starring Ahn Jae-hyun, Ji Jin-hee, Koo Hye-sun, and Son Soo-hyun. It aired on KBS2 from February 16 to April 21, 2015 on Mondays and Tuesdays at 22:00 for 20 episodes.		
Unforgettable Love	Chinese	2021	Romance film		Li Yulei	Tang Fan	24		Unforgettable Love () is a 2021 Chinese romance television series, starring Wei Zheming, Hu Yixuan, co-starring Sheng Huizi, Yu Yijie, Shi Qingyan, Wu Chongxuan and Sun Sicheng. The series is based on the novel Mr He's Love is Not Forgotten (贺少的闪婚暖妻) by Qin Ye. It revolves around He Qiaoyan, CEO of Heshi Group, and Qin Yiyue, a child psychologist. The series airs on Mango TV from July 10, 2021, and is also available on iQiyi app and .		
Cao Cao	Chinese		Historical drama		Hu Mei Hu Mei		41	Zhao Lixin, Li Lingyu, Leo Ku, Han Xue, Wang Han, Gong Jie, Lei Kesheng, Li Wenbo, Jia Zhaoji, Yan Kun, Kan Jinming, Han Han, Sun Xuezheng, Chen Zexi, Feng Yizhe, Shen Bo, Guo Zhan, Yin Junzheng, Wang Bin, Wang Zhao	Cao Cao is a Chinese television series based on the life of Cao Cao, a warlord who rose to power towards the end of the Eastern Han dynasty and laid the foundation for the state of Cao Wei in the Three Kingdoms period. Directed by Hu Mei, the series aimed to portray a more historically accurate image of Cao Cao, who is traditionally depicted as a villain in Chinese culture. Starring Zhao Lixin as the eponymous character, the series was filmed at the Xiangshan Film City in Ningbo, Zhejiang betwee...		
Category:The Voice of Korea	South Korean								Category:The Voice of Korea 14 45344965 1248884351 966057321 2024-10-02T00:05:42Z Pichpich 6196463 new key for Category:The Voice (franchise): "Korea" using HotCat 1248884351 wikitext text/x-wiki Korea Category:Wikipedia categories named after South Korean television shows Category:South Korean reality television series Category:2012 South Korean television series debuts Category:Music competitions in South Korea Category:South Korean music television shows 39c9ts873ryvo3jo5amgv2jca9j7v64		
City of the Sun	South Korean	2015	Drama film, Political film		Park Ki Hyung, Jung Heung Soon		16		City of the Sun () is a 2015 South Korean television series based on the Japanese novel by Jun Ikeido. Starring Kim Joon, Jung Min, Song Min-jung, Jung Joo-yeon and Kim Sung-kyung, it aired on MBC Dramanet from January 30 to April 7, 2015 for 16 episodes.		
Hogu's Love	South Korean	2015	Comedy film, Melodrama film, Romance film	tvN	Pyo Min Soo	Lee Jung Hee, Go Dae Jung	16		Hogu's Love () is a 2015 South Korean television series based on the Daum webtoon of the same title by Yoo Hyun-sook. It starred Choi Woo-shik in the title role with Uee, Lim Seul-ong, and Lee Soo-kyung. It aired on tvN from February 9 to March 31, 2015 on Mondays and Tuesdays at 23:00 (KST) for 16 episodes.		
In the Name of Love	Singaporean	2014	Romance	Channel 8	Su Miao Fang, Doreen Yap	Kwek Leng Soong	20		In The Name Of Love () is a romance drama series produced by MediaCorp Studios and aired on MediaCorp Channel 8. The show aired at 9pm on weekdays and had a repeat telecast at 8am the following day. The series stars Felicia Chin, Pierre Png, Julie Tan, Ann Kok and Bryan Wong as the main characters of the series, it is also a mid year blockbuster drama for 2014. This series repeat telecast every Sunday at 12pm - 2pm.		
Heard It Through the Grapevine	South Korean	2015	Black comedy, Drama film, Family, Romance (love), Satire		Ahn Pan Seok	Lee Sang Min	30		Heard It Through the Grapevine () is a 2015 South Korean television series starring Yoo Jun-sang, Yoo Ho-jeong, Go Ah-sung, and Lee Joon. It aired on SBS from February 23 to June 2, 2015 on Mondays and Tuesdays at 21:55 for 30 episodes.		
The Three Heroes and Five Gallants	Chinese	2016		Anhui Television	Wu Chia Tai	Li Gongda	44	Chen Xiao, Yan Yikuan, Zheng Shuang, Zhang Zhixi, Liang Guanhua, Liu Dekai, Ma Shuliang, Xie Ning, Rao Xiaozhi, Li Xinyu, He Yu, Wang Daqi, Wang Maolei, Han Zhengguo, Wu Jing, Zhang Wei Na, Xue Qi, Diao Biao, Li Tianqi, Zhu Jing	The Three Heroes and Five Gallants is a 2016 Chinese television series produced by Huayi Brothers with Tianxing Yiyuan Entertainment (), based on the 19th-century classic novel of the same name. Starring Chen Xiao, Yan Yikuan and Zheng Shuang, the series premiered on February 17, 2016, on Anhui TV.		
The Three Heroes and Five Gallants	Chinese				Wang Shaopeng		11		The Three Heroes and Five Gallants is a 1991 Chinese television series produced by Shanghai Cable Drama Television (now part of Shanghai Media Group), based on the 19th-century classic novel of the same name (also known as The Seven Heroes and Five Gallants). It is considered the most faithful adaptation of the novel. Most of the cast members were Chinese martial arts athletes, including Chinese swordsmanship national champion Xun Feng, who appeared in the 1982 classic film Shaolin Temple.		
The Seven Heroes and Five Gallants	Taiwanese	1994		Chinese Television System		Chao Ta Shen	75		The Seven Heroes and Five Gallants is a 1994 Taiwanese television series produced by Chinese Television System (CTS) a few months after its prequel Justice Pao, which was also produced by Chao Ta-shen. Dozens of actors appeared in both series, but only Sze Yu and Tu Man-sheng reprised their roles. Fan Hung-hsuan and Lung Lung chose to portray new characters rather than their iconic roles.		
Su Dongpo	Chinese		historical fiction		Wang Wenjie	Sun Yuehong	44	Lu Yi, Ruby Lin, Wang Xiaochen, Guo Donglin, Song Haolin, Han Yuqin, Sarina, Li Qiang, He Wei, Liu Wenzhi, Shen Junyi, Wang Shihuai, Yang Dong, Liu Changchun, Zhao Jin, Zhao Chao, Wang Li, Li Feng, Xue Zhongrui, Liu Yulin	Su Dongpo is a 2012 Chinese historical TV series produced by China Central Television. It was first shown in 2012, although it was filmed in 2007. The biopic stars Lu Yi as Su Shi, also known as Su Dongpo.		
Unkind Ladies	South Korean	2015	Drama film, Family film, Romance film		Yoo Hyun Ki, Han Sang Woo	Yoon Jae Hyuk, Kim Dong Hwi	24		Unkind Ladies () is a 2015 South Korean television series starring Kim Hye-ja, Chae Shi-ra, Do Ji-won and Lee Ha-na. It aired on KBS2 from February 25 to May 14, 2015 on Wednesdays and Thursdays at 21:55 for 24 episodes.		
Tales of the Tooth Fairies	Chinese	1993	Children's television	BBC One	Vincent Monluc	Jean François Laguionie, Robin Lyons, Jürgen Egenolf, Pierre Levie	26		Tales of the Tooth Fairies (French: Souris Souris) is a children's television programme created by Françoise Caspan. It was produced in 1992 by Siriol Productions, La Fabrique, EVA Entertainment, Cologne Cartoon, and Sofidoc S.A. for WDR and France 3. In the United Kingdom, it was aired on BBC One from 7 September until 14 December 1993, along with Noddy's Toyland Adventures and BBC Two on 20 October 1994.		
Saba Doru	Japanese	2012	Comedy, Japanese television drama, Slice of Life, Teen drama		Dai Satō		12		(lit. "Saba Doll") is a Japanese television drama series broadcast on TV Tokyo starring AKB48's Mayu Watanabe. The story revolves around the 38-year-old Usa Shijimi (Watanabe), who is a high school classical literature teacher. Her students are mean to her, but they do not realize that she has another identity. Outside of school, she lies about her age to be active as the super popular 17-year-old idol Watanabe Mayu, whom the students adore. The show aired on TV Tokyo on Fridays starting from Ja...		
Pari 'Koy	Philippine	2015	Christian drama	GMA Network	Maryo J De Los Reyes		118		'Koy ( / international title: My Holy Bro) is a 2015 Philippine television drama Christian series broadcast by GMA Network. Directed by Maryo J. de los Reyes, it stars Dingdong Dantes in the title role. It premiered on March 9, 2015, on the network's Telebabad line up. The series concluded on August 21, 2015, with a total of 118 episodes. The series is streaming online on YouTube.		
35-sai no Koukousei	Japanese	2013	Drama film, School story, Slice of life				11		is a 2013 NTV Japanese television drama, starring Ryoko Yonekura and Junpei Mizobata. It aired from 13 April 2013 to 22 June 2013 with a total of 11 episodes.		
Move It: Clash of the Streetdancers	Philippine	2015	Dance competition		Creativedirector				Move It: Clash of the Streetdancers is a Philippine television reality competition show broadcast by TV5. Hosted by Jasmine Curtis-Smith and Tom Taus, it aired from January 25 to May 3, 2015, replacing Who Wants to Be a Millionaire? and was replaced by Who Wants to Be a Millionaire?. It airs every Sunday at 7:00pm, later moved to 8:00pm (PST).		
Second Life	Hong Kong	2015	creator              =		Creativedirector		11	Wilfred Lau, Chiu Sin Hang, Terence Yin, Bondy Chiu, Kwok Fung, Emily Wong, Lo Hoi Pang, Maggie Wong, Ann Ho, Cherry Pau, Patrick Lui, Joey Tang, Ricksen Tam, Nick Chong, Bonnie Wong, Maria Chen, Rocky Chan, Anita Chan, Wong Ching, Mannor Chan	Second Life (), is a 2015 television series produced by Hong Kong Television Network. The first episode premiered on February 23, 2015.		
The Menu	Hong Kong	2015	creator              =		Ben Fong		24	Noel Leung, Catherine Chau, Kate Yeung, Gregory Wong, Shek Sau, Sam Chan, Kwok Fung, Felix Lok, Dexter Young, Rachel Lam, Yu Mo Lin, Eddie Li, Kathy Yuen, Candy Chu, Casper Chan, Mizz Eva, Janice Ting, Benji Chiang, Anita Chan, Lee Fung	The Menu (), is a 2015 television series produced by Hong Kong Television Network. The series is starred by Noel Leung, Catherine Chau, Kate Yeung and Gregory Wong, written by Pun Man-hung and directed by Ben Fong. The first episode premiered on 10 March 10, 2015. The plot revolves around the newspaper business. The sequel was released on 4 August 2016 as a film.		
Sky Lovers	Chinese	2002			Qian Yongqiang	Er Yong	30		Sky Lovers is a 2002 Chinese romance television series produced by Nei Mongol Television in conjunction with Beijing Zhennan Culture & Arts (北京震南文化艺术). It includes 6 unrelated love stories, each 5 episodes long. The opening theme song is "Xiangshui" (香水; "Perfume") performed by Nicholas Tse.		
Solved na Solved	Philippine	2015	Reality television, Talk show		Creativedirector		59		Solved na Solved (English: Solved to Solved) is a Philippine television talk show broadcast by TV5. Hosted by Gelli de Belen, Arnell Ignacio and Atty. Mel Sta. Maria, it aired from January 19 to April 16, 2015. On April 6, 2015, the program will change its schedule every Tuesday to Thursday, and its 2nd Season but on April 16, the show went off air.		
Kimchi Cheese Smile	South Korean	2007	Dramatic programming, Mystery film, Sitcom		Jeon Jin Soo Kim Jun Hyeon		121		Kimchi Cheese Smile () is a South Korean sitcom revolving around the life of a kimchi-like (holding popular and conservative ideas) family headed by Shin Goo, who are to become in-laws to Sunwoo Eun-sook's cheese-like (rich and stylish) family. With contrasting classes and values, the sitcom follows these two families through various events in their lives.		
Water Polo Yankees	Japanese	2014	Drama film, School story, Sports		Miyaki Shogo, Shinada Shunsuk	Fujino Ryota	10	Yuto Nakajima, Kento Yamazaki, Yuya Takaki, Yudai Chiba, Taishi Nakagawa, Ryo Yoshizawa, Shotaro Mamiya, Yuma Yamoto, Sakurako Ohara, Aya Oomasa, Yua Shinkawa, Nobuyuki Suzuki, Hinako Sano, Miwako Kakei, Kana Kurashina, Leo Morimoto, Yukiya Kitamura, You Yokoyama, Sarutoki Minagawa, Shoko Iketsu	is a 2014 Japanese television drama, starring Yuto Nakajima of Hey! Say! JUMP, Kento Yamazaki and Sakurako Ohara. It is the first drama to have water polo as their main sport. The drama aired from 12 July 2014 to 20 September 2014 with a total of ten episodes.		
The New Adventures of Wisely	Singaporean		Adventure fiction, science fiction		Daisy Chan	Daisy Chan, Victor Lau	30	Michael Tao, Li Nanxing, Zoe Tay, Kenneth Tsang, Yvonne Lim, Chew Chor Meng, Kym Ng, Bernard Tan, Richard Low, Lisa Chiao Chiao, Jerry Chang, Phyllis Quek, Aileen Tan, Mak Ho Wai, Yan Bingliang, Lin Yisheng, Xu Meiluan	The New Adventures of Wisely is a Singaporean adventure-science fiction television series adapted from the novel series Wisely Series by Ni Kuang. It was directed by Daisy Chan and starred Hong Kong actor Michael Tao as Wisely (or Wei Si Li), the main character. The series was first aired on Television Corporation of Singapore Channel 8 (now MediaCorp Channel 8) in Singapore in 1998.		
Jungle Fish	South Korean		Teen drama		Choi Sung Bum	Kim Jeong Hwan	1				
Father's House	South Korean		Dramatic programming, Serial (radio and television)		Kim Su Ryong	Kim Young Sup	2	Choi Min Soo, Moon Jeong Hee, Kim Soo Hyun, Baek Il Seob, Park Won Sook, Jung Hye Sun, Kim Sung Oh, Park Chang Ik, Ahn Jung Hoon, Yoo Ho Jin, Kim Gyu Jin, Kang Soo Han	Father's House () is a South Korean year-end drama special. Reruns were aired on New Year's Day.		
Inday Bote	Philippine	2015	Comedy drama, Fantasy, Romance film	ABS-CBN	Malu L Sevilla Jon S Villarin Manny Q Palo	Ethel Manaloto Espiritu	53		Inday Bote () is a 2015 Philippine television drama romance series broadcast by ABS-CBN. The series is based on the local comic book of the same title created by Pablo S. Gomez. Directed by Malu L. Sevilla, Jon S. Villarin and Manny Q. Palo, it stars Alex Gonzaga, Alonzo Muhlach, Matteo Guidicelli and Kean Cipriano. It aired on the network's Primetime Bida line up and worldwide on TFC from March 16 to May 29, 2015, replacing Bagito and was replaced by Pasión de Amor. The series is streaming onli...		
A Girl Who Sees Smells	South Korean	2015	Romance novel, Supernatural, The Korea Times		Oh Chung Hwan	Lee Yong Seok Min Yeon Hong Jang Sung Wook	16		A Girl Who Sees Smells () is a 2015 South South Korean drama adapted from the KTOON webtoon of the same title by Seo Soo-kyung a/k/a Man Chwi. Its early working title was Sensory Couple (), before reverting to the name of the original webtoon. It reached top of the Contents Power Index (CPI) rankings for the most influential dramas.		
Legend of the Eight Immortals	Singaporean	1998	Gods and demons fiction		Edmund Tse, Zhang Baolian, Huo Zhikai, Yuan Guowei, Leung Sing Kuen, Luo Ting	Ma Jiajun, Zheng Ning, Cheng Xinmin, Edmund Tse	30	Steve Ma, Jacelyn Tay, Deborah Sim, Mak Hiu Wai, Phyllis Quek, Yvonne Lim, Xie Shaoguang, Hong Huifang, Vincent Ng, Li Yinzhu, Dai Peng, Yan Bingliang, Chen Tianwen, Jerry Chang, Ling Xiao, Lin Yisheng, Hong Junrui, Li Haijie, Tracer Wong, Huang Shinan	Legend of the Eight Immortals is a Singaporean television series based on stories about the Eight Immortals in Chinese mythology and adapted from the 16th-century Chinese novel Journey to the East (东游记) by Wu Yuantai (吴元泰). Produced by the Television Corporation of Singapore (TCS; now MediaCorp) in collaboration with two mainland Chinese companies, the series had cast members from Singapore, Taiwan, Hong Kong and mainland China. It was first aired in Singapore on TCS Channel 8 from 26 November 1...		
Happy Wife, Happy Life	Philippine	2015	Lifestyle (sociology), talk show		Creativedirector		183		Happy Wife, Happy Life is a Philippine television talk show broadcast by TV5. Hosted by Danica Pingris, LJ Alapag, Jeck Maierhofer and RR Enriquez, it aired from January 19 to October 2, 2015.		
Return of Judge Bao	Hong Kong							Jin Chao Chun, Fan Hung Hsuan, Vincent Chiao, Zhang Tielin, Xia Yu, Tang Guoqiang, Song Dandan, Wang Yu Wen, Sun Xing, Wu Ma	Return of Judge Bao is a 2000 television series produced by Hong Kong's Asia Television starring Jin Chao-chun as the titular Song dynasty official Bao Zheng. Although a Hong Kong production, it was completely filmed in Qingdao, China and featured mostly actors from Taiwan and mainland China. The series was first shown on Taiwan Television in Taiwan in March 2000, and was not broadcast in Hong Kong until May 2000 when the Cantonese-dubbing was complete. The English title makes references to the ...		
Apgujeong Midnight Sun	South Korean	2014	Family film, Melodrama, Revenge, Romance film	MBC TV	Bae Han Chun Choi Joon Bae	Kim Ho Young	149	Park Ha Na, Kang Eun Tak, Baek Ok Dam, Song Won Geun, Lee Bo Hee, Shim Hyung Tak, Im Chae Moo, Jung Hye Sun, Han Ki Woong, Kim Young Ran, Han Jin Hee, Choi Su Rin, Jewelry #members, Lee Ga Ryeong, Kim Min Soo, Lee Hyo Young, Hwang Jung Seo, Park Hye Sook, Kim Ji Eun, Keum Dan Bi	Apgujeong Midnight Sun () is a 2014 South Korean television series starring Park Ha-na, Kang Eun-tak, Baek Ok-dam and Song Won-geun. The daily drama aired on MBC TV from October 6, 2014 to May 15, 2015 on Mondays to Fridays at 20:55 for 149 episodes.		
Miss Mamma Mia	South Korean	2015	Melodrama, Romance film	KBS Drama	Kim Jong Chang	Executiveproducer Oh Sung Min	12	Kang Byul, Han Go Eun, Shim Hyung Tak, Seo Do Young, Jang Young Nam, Kim Ha Eun, Park Soo Young, Shin Yi, Gil Hae Yeon, Jang Eun Poong, Ahn Seung Hoon, Kim Ha Yoo, Bae Kang Yoo	Miss Mamma Mia () is a 2015 South Korean television series starring Kang Byul, Han Go-eun, Shim Hyung-tak and Seo Do-young. It aired on KBS Drama on Wednesdays to Thursdays at 23:00 for 12 episodes beginning January 28, 2015.		
Mac and Chiz	Philippine	2015	Sitcom		Jade Castro, Sam Dabao		23		Mac and Chiz (stylized as Mac & Chiz) is a Philippine television sitcom series broadcast by TV5. Directed by Jade Castro and Sam Dabao, starring Derek Ramsay and Empoy Marquez. It aired from January 25 to June 28, 2015, replacing Quiet Please!: Bawal ang Maingay and was replaced by No Harm, No Foul. The show airs every Sunday at 8:00pm later moved to 7:00pm and back at 8:00pm.		
Young Charioteers	Hong Kong	2015	Modern, Romance, Sports	TVB Jade	Patrick Leung Chin Wing Zi	Kwan Wing Chung	20		Young Charioteers () is a 2015 Hong Kong modern, romance, sports drama produced by TVB, starring Him Law, Sisley Choi, Sammy Sum and Michelle Yim as the main leads. Filmed on location in Hong Kong and Taiwan, the series began airing on March 2, 2015 and is broadcast weekly from Monday to Friday on TVB Jade channel 8:30-9:30 pm timeslot.		
The Legends of Jigong	Singaporean		Gods and demons fiction		Lu Cijin, Lin Lihong	Li Ningqiang	30	Xie Shaoguang, Yao Wenlong, Ann Kok, Ryan Choo, Zhu Xiufeng, Brandon Wong, Zheng Geping, Bai Yan, Chen Guohua, Deng Shufang, Huang Shinan, Li Xuehuan, Wu Ge, Zhong Shurong, Guan Xuemei, Zhang Jinhua, Liang Tian, Lin Yongkun, Lan Zhenyi, Huang Guoxiong	The Legends of Jigong is a Singaporean television series based on legends about Ji Gong (1130–1207), a Chinese Buddhist monk who is revered as a deity in Chinese folk religion and folk hero in Chinese culture. It was produced by the Television Corporation of Singapore (TCS) and was first aired in Singapore on TCS Eighth Frequency (now MediaCorp Channel 8) in 1996. Xie Shaoguang, who portrayed Ji Gong and sang the theme song for the series, was nominated for the Best Actor award at the 1997 Star ...		
The World After Dinosaurs	Japanese								The World After Dinosaurs 0 45605057 1307066944 1294200572 2025-08-21T09:47:31Z Bearian 3488865 /* Cenozoic segment */		
Heroes in Black	Singaporean		Wuxia		Edmund Tse	Edmund Tse, Ma Jiajun	20	Bobby Au Yeung, Li Nanxing, Fann Wong, Cheng Pei Pei, Apple Hong, Vincent Ng, Yan Bingliang, Richard Low, Deng Maohui, Liang Tian, Li Wenhai, Ye Shipin, Zhou Quanxi	Heroes in Black is a Singaporean television series loosely inspired by a Chinese short story in Funny History (諧史) by the Song dynasty writer Shen Shu (沈淑). The story is about a thief known as "Wolaiye" (我来也; literally "Here I Come") who stole from many wealthy households in the capital during the Song dynasty. In this series, "Wolaiye" is the alter ego of a constable, who teams up a magistrate to fight injustice in the county. Both of them also become love rivals because they both fall in love ...		
Eye in the Sky	Hong Kong	2015	Action (fiction), Crime thriller, Dramatic programming	TVB Jade	Kevin Cheng, Ruco Chan, Tavia Yeung, Lin Xiawei Rosina Lam, Tony Hung, Samantha Ko	Dave Fong	20		Eye in the Sky (; literally "Heaven's Eye" or "Sky's Eye") is a 2015 Hong Kong crime thriller television drama created and produced by TVB. The drama focuses on the relationship between two brothers, portrayed by Kevin Cheng and Ruco Chan, and deals with themes of comeuppance and destiny. In the series, the two brothers often use video surveillance cameras to catch criminals; these cameras are also commonly referred to as "heaven's eye" in Cantonese speech. Eye in the Sky aired from 2 to 27 Marc...		
Invincible Baseball Team	South Korean	2009	Variety, sports		Creativedirector				Invincible Baseball Team () is a South Korean TV baseball-variety show that debuted on 25 April 2009 on KBS2. Invincible Baseball Team ended in December 2010.		
InstaDad	Philippine	2015	Drama (film and television)	GMA Network	Neal Del Rosario		13		InstaDad is a 2015 Philippine television drama series broadcast by GMA Network. Directed by Neal del Rosario, it stars Gabby Eigenmann in the title role. It premiered on April 5, 2015. The series concluded on July 5, 2015 with a total of 13 episodes. The series is streaming online on YouTube.		
Call Me Papa Jack	Philippine	2015	Radio, Talk show		Creativedirector		18		Call Me Papa Jack is a Philippine television talk show broadcast by TV5. Hosted by John S. Gemperle (a.k.a. Papa Jack of 90.7 Love Radio), it aired from January 24 to April 19, 2015.		
Tobot	South Korean	2010		Tooniverse	Nico	Young Toys, Retrobot, Studio Button ''tobot V'', ''tobot Galaxy Detectives''	102		Tobot () is a South Korean animated television series produced by and . The series features transforming cars, and some of them can fly like Tobot W or Tobot Y The series is available in Korean and English on Young Toys' official YouTube channel. The toy line beat Lego as South Korea's most popular toy line in 2013. An official English dub was produced in Canada by Ocean Productions and its sister studio Blue Water Studios, airing over a few months in 2018. This version was available on Netflix....		
The Old Miao Myth	Hong Kong	1983	Suspense, historical drama		Chiu Man Keung, Lee Yiu Ming, Lee Kwok Lap, Siu Kin Hang	Chiu Man Keung	20		The Old Miao Myth is a 1983 Hong Kong period suspense television series produced by TVB and starring Andy Lau, Ray Lui and Patricia Chong. The series centers around a statue and slowly evolves into a broad story with many bizarre twists and turns, which stirred up a sensation when it was first broadcast.		
2½ Daddies	Philippine	2015	Sitcom		Monti Puno Parungao	Bong Guillermo	24		Daddies is a Philippine television sitcom series broadcast by TV5. Directed by Monti Puno Parungao, it stars Robin Padilla, Rommel Padilla and BB Gandanghari. It aired from January 24 to July 4, 2015.		
Angry Mom	South Korean	2015	Family film, Melodrama, Teen		Choi Byung Gil	Yoo Hyun Joong	16		Angry Mom () is a 2015 South Korean television series starring Kim Hee-sun, Kim Yoo-jung, and Ji Hyun-woo. It aired on MBC from March 18 to May 7, 2015, on Wednesdays and Thursdays at 22:00 (KST) for 16 episodes. The screenplay won the Excellence Award at MBC's 2014 Script Contest.		
Global Conversations	Philippine	2015		CNN Philippines					Global Conversations is a Philippine television public affairs show broadcast by CNN Philippines. Hosted by Mai Rodriguez, it aired from March 20, 2015 to August 26, 2016.		
Pangako sa 'Yo	Philippine	2015	Drama (film and television), Romance film	ABS-CBN	Rory Quintos Rory B Quintos, Cathy Garcia Molina	Myleen H Ongkiko	190		Pangako sa 'Yo ( / international title: The Promise) is a Philippine television drama romance television series broadcast by ABS-CBN. The series is based on the 2000 era Philippine television series of the same title. Directed by Rory B. Quintos, Dado C. Lumibao, Olivia M. Lamasan, Cathy Garcia-Molina, Richard I. Arellano, Mae Czarina Cruz-Alviar, Richard V. Somes and Will C. Fredo, it stars Kathryn Bernardo, Daniel Padilla, Jodi Sta. Maria, Angelica Panganiban, and Ian Veneracion. It aired on t...	{| class=&quot;wikitable plainrowheaders&quot; style=&quot;text-align:center; background:#f9f9f9; line-height:16px;&quot; width=&quot;100%&quot; |+ KANTAR MEDIA NATIONAL TV RATINGS&lt;br /&gt;(8:30&amp;nbsp;pm PST) |- ! PILOT EPISODE !! FINALE EPISODE !! PEAK !! AVERAGE !! SOURCE |- | | | | |&lt;ref name=psyreception&gt;. ABS-CBN Social Media Newsroom. Retrieved 2015-05-26.&lt;/ref&gt;&lt;ref&gt;. ABS-CBN Social Media Newsroom. Retrieved 2015-07-31.&lt;/ref&gt; |} ;Notes :1. recorded 39.9% in 20...	
Super Daddy Yeol	South Korean	2015	Comedy film, Family film, Romance film	TVN	Song Hyun Wook	Choi Jin Hee Choi Jin Hee	16	Lee Dong Gun, Lee Yu Ri, Lee Re, Seo Jun Young, Seo Yea Ji, Kang Nam Gil, Kim Mi Kyung, Lee Han Wi, Jang Gwang, Choi Sang, Choi Dae Chul, Choi Kwon Soo, Han Groo, Park Joo Hyung, Jung Ji Ah, Lee Young Eun, Oh Joo Eun, Kim Hye Na, Han Young	Super Daddy Yeol () is a 2015 South Korean television series starring Lee Dong-gun, Lee Yu-ri and Lee Re. Based on the same-titled Daum webtoon by Lee Sang-hoon and Jin Hyo-mi, it aired on tvN from March 13 to May 2, 2015 on Fridays and Saturdays at 20:30 for 16 episodes.		
Orange Marmalade	South Korean	2015	Fantasy film, Romance film, Teen film		Lee Hyung Min	Kim Jung Hwan, Kim Hyung Joon, Kim Kyung Won	12		Orange Marmalade () is a 2015 South Korean television series based on the webtoon of the same name which was serialized on Naver WEBTOON from 2011 to 2013. Starring Yeo Jin-goo, Kim Seol-hyun, Lee Jong-hyun and Gil Eun-hye, it aired on KBS2 from May 15 to July 24, 2015 on Fridays at 22:35 for 12 episodes.		
